"district","typ","hasc","nutscode","population","area","rb","capital"
"Aachen","d","DE.NW.AC","DEA2D","539,515",707,"KL","Aachen"
"Ahrweiler","l","DE.RP.AR","DEB12","125,885",787,"KB","Bad Neuenahr-Ahrweiler"
"Aichach-Friedberg","l","DE.BY.AF","DE275","126,387",783,"SC","Aichach"
"Alb-Donau-Kreis","l","DE.BW.AD","DE145","186,192","1,357","TU","Ulm"
"Altenburger Land","l","DE.TH.AL","DEG0M","96,737",569,"TH","Altenburg"
"Altenkirchen (Westerwald)","l","DE.RP.AT","DEB13","130,57",642,"KB","Altenkirchen (Westerwald)"
"Altmarkkreis Salzwedel","l","DE.ST.AS","DEE04","88,241","2,293","MA","Salzwedel"
"Altötting","l","DE.BY.AT","DE214","106,022",569,"OB","Altötting"
"Alzey-Worms","l","DE.RP.AW","DEB3B","125,113",588,"RP","Alzey"
"Amberg","s","DE.BY.AM","DE231","41,912",50,"OP","Amberg"
"Amberg-Sulzbach","l","DE.BY.AS","DE234","103,902","1,256","OP","Amberg"
"Ammerland","l","DE.NI.AM","DE946","117,912",728,"WE","Westerstede"
"Anhalt-Bitterfeld","l","DE.ST.AB","DEE05","172,127","1,453","DS","Köthen"
"Ansbach","l","DE.BY.AN","DE256","178,354","1,972","MF","Ansbach"
"Ansbach","s","DE.BY.AB","DE251","39,491",100,"MF","Ansbach"
"Aschaffenburg","l","DE.BY.AL","DE264","172,612",699,"UF","Aschaffenburg"
"Aschaffenburg","s","DE.BY.AC","DE261","67,359",62,"UF","Aschaffenburg"
"Augsburg","l","DE.BY.AG","DE276","237,095","1,071","SC","Augsburg"
"Augsburg","s","DE.BY.AU","DE271","267,767",147,"SC","Augsburg"
"Aurich","l","DE.NI.AR","DE947","187,135","1,287","WE","Aurich"
"Bad Dürkheim","l","DE.RP.BD","DEB3C","131,085",595,"RP","Bad Dürkheim"
"Baden-Baden","u","DE.BW.BB","DE121","52,315",140,"KR","Baden-Baden"
"Bad Kissingen","l","DE.BY.BK","DE265","104,02","1,137","UF","Bad Kissingen"
"Bad Kreuznach","l","DE.RP.BK","DEB14","155,599",864,"KB","Bad Kreuznach"
"Bad Tölz-Wolfratshausen","l","DE.BY.BW","DE216","119,178","1,111","OB","Bad Tölz"
"Bamberg","l","DE.BY.BM","DE245","143,61","1,167","OF","Bamberg"
"Bamberg","s","DE.BY.BB","DE241","70,635",55,"OF","Bamberg"
"Barnim","l","DE.BB.BR","DE405","172,165","1,494","BB","Eberswalde"
"Bautzen","l","DE.SN.BU","DED2C","315,174","2,391","DR","Bautzen"
"Bayreuth","l","DE.BY.BY","DE246","105,396","1,273","OF","Bayreuth"
"Bayreuth","s","DE.BY.BR","DE242","70,808",67,"OF","Bayreuth"
"Berchtesgadener Land","l","DE.BY.BL","DE215","100,829",840,"OB","Bad Reichenhall"
"Bergstraße","l","DE.HE.BR","DE715","260,741",720,"DA","Heppenheim"
"Berlin","b","DE.BE.BR","DE300","3,292,365",892,"BE","Berlin"
"Bernkastel-Wittlich","l","DE.RP.BW","DEB22","112,32","1,178","TR","Wittlich"
"Biberach","l","DE.BW.BR","DE146","187,444","1,41","TU","Biberach an der Riß"
"Bielefeld","s","DE.NW.BE","DEA41","326,87",258,"DM","Bielefeld"
"Birkenfeld","l","DE.RP.BR","DEB15","82,778",779,"KB","Birkenfeld"
"Böblingen","l","DE.BW.BL","DE112","363,949",618,"ST","Böblingen"
"Bochum","s","DE.NW.BC","DEA51","362,286",146,"AR","Bochum"
"Bodenseekreis","l","DE.BW.BD","DE147","204,083",665,"TU","Friedrichshafen"
"Bonn","s","DE.NW.BN","DEA22","305,765",141,"KL","Bonn"
"Börde","l","DE.ST.BR","DEE07","176,048","2,366","MA","Haldensleben"
"Borken","d","DE.NW.BR","DEA34","363,754","1,419","MU","Borken"
"Bottrop","s","DE.NW.BT","DEA31","117,311",101,"MU","Bottrop"
"Brandenburg an der Havel","s","DE.BB.BH","DE401","71,569",229,"BB","Brandenburg an der Havel"
"Braunschweig","s","DE.NI.BA","DE911","242,537",192,"BR","Braunschweig"
"Breisgau-Hochschwarzwald","l","DE.BW.BH","DE132","247,279","1,378","FR","Freiburg im Breisgau"
"Bremen","d","DE.HB.BR","DE501","542,707",325,"HB","Bremen"
"Bremerhaven","d","DE.HB.BH","DE502","108,156",94,"HB","Bremerhaven"
"Burgenlandkreis","l","DE.ST.BG","DEE08","189,729","1,413","HL","Naumburg (Saale)"
